gauge_name,lat,lon,aridity,aridity_class,mean_streamflow_cfs,mean_evap_mm_day,mean_prcp_mm_day
"BEAR CREEK NEAR MARCELLINE, IL",40.14282,-91.33737,2.801399,Arid,285.317304,7.799876,2.784279
"BEAR CREEK NR OAKES, ND",46.22524,-98.07177,4.096467,Arid,22.573224,6.187039,1.510336
"BEAR DEN CREEK NR MANDAREE, ND",47.78724,-102.76853,4.912453,Arid,4.342836,6.033368,1.228178
"BEAVER RIVER NEAR BEAVER, UT",38.28053,-112.56827,2.12396,Arid,52.950876,3.9724,1.87028
"BEAVERDAM BRANCH AT HOUSTON, DE",38.90578,-75.51275,2.571501,Arid,3.580801,8.360174,3.251087
"BIG BUREAU CREEK AT PRINCETON, IL",41.36587,-89.49843,2.542948,Arid,166.588976,7.025339,2.762675
BIG C AB WHITES GULCH NR GROVELAND CA,37.84187,-120.18491,2.730142,Arid,9.537083,7.537927,2.761002
"BIG EAU PLEINE RIVER AT STRATFORD, WI",44.82191,-90.07958,2.476344,Arid,178.382007,5.851132,2.362811
"BIG PIPE CREEK AT BRUCEVILLE, MD",39.61236,-77.23744,2.417426,Arid,119.994175,7.666212,3.171229
BIG ROCK C NR VALYERMO CA,34.42083,-117.83951,5.739461,Arid,17.983716,7.678212,1.337793
BIG SIOUX R NEAR WATERTOWN SD,45.00608,-97.16508,3.616751,Arid,50.198089,6.208712,1.716654
BIG SUR R NR BIG SUR CA,36.2458,-121.77329,2.15429,Arid,101.630483,5.832097,2.707201
"BILOXI RIVER AT WORTHAM, MS",30.55861,-89.12194,2.258643,Arid,196.015785,10.657456,4.718522
"BLACK CREEK NEAR BLITCHTON, GA",32.16798,-81.48817,3.222841,Arid,158.724947,10.56383,3.2778
"BLACK GORE CREEK NEAR MINTURN, CO.",39.59638,-106.26503,1.405035,Arid,16.93298,3.155002,2.245497
"BLACK RIVER AT COVENTRY, VT",44.86894,-72.2701,1.50775,Arid,216.374108,5.389266,3.574376
"BLACK VERMILLION R NR FRANKFORT, KS",39.68192,-96.44289,3.307593,Arid,181.958465,8.013084,2.422633
BLACKWATER RIVER NEAR BRADLEY AL,31.02768,-86.70996,2.298198,Arid,134.331758,10.339469,4.498946
"BLACKWATER RIVER NEAR ROCKY MOUNT, VA",37.04514,-79.8442,2.420821,Arid,126.509297,7.660163,3.164283
BLACKWOOD C NR TAHOE CITY CA,39.10741,-120.16214,1.188282,Arid,35.621654,4.560646,3.838015
"BLAZED ALDER CREEK NEAR RHODODENDRON, OREG.",45.45262,-121.89147,0.660128,Sub-humid,56.981958,5.087222,7.706424
"BOBTAIL CREEK NEAR JONES PASS, CO.",39.76026,-105.9064,1.0414,Arid,10.63044,2.77196,2.661762
"BOOTH CREEK NEAR MINTURN, CO.",39.64832,-106.32308,1.225092,Arid,11.797357,3.169357,2.587035
"BOUIE CREEK NR HATTIESBURG, MS",31.42583,-89.41472,2.376906,Arid,429.184543,10.213772,4.297086
BRUNEAU RIVER AT ROWLAND NV,41.93324,-115.67453,3.443773,Arid,99.562242,4.774908,1.386534
BUFFALO FORK AB LAVA CREEK NR MORAN WY,43.83806,-110.44111,1.268723,Arid,522.143382,3.101435,2.444533
"BUFFALO RIVER NEAR FLAT WOODS, TN",35.49591,-87.8328,2.006448,Arid,781.005331,8.555417,4.263963
BULL C NR WEOTT CA,40.35125,-124.00393,1.216741,Arid,108.602721,5.92104,4.86631
"BULL LAKE CREEK ABOVE BULL LAKE, WY",43.1769,-109.20291,2.006723,Arid,275.727155,2.999862,1.494906
BULLFROG CREEK NEAR WIMAUMA FL,27.79197,-82.35204,3.149739,Arid,44.042658,12.124303,3.849304
"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",38.1954,-79.57032,2.038337,Arid,156.625579,6.384572,3.132245
"Bald Eagle Creek at Tyrone, PA",40.68367,-78.23362,2.040814,Arid,73.138321,6.31139,3.092584
"Baron Fork at Dutch Mills, AR",35.88008,-94.48661,2.472621,Arid,47.546313,8.901019,3.599831
"Baron Fork at Eldon, OK",35.9212,-94.83856,2.583696,Arid,351.458902,9.06375,3.508056
"Bayou Grand Cane near Stanley, LA",31.97933,-93.93408,2.759023,Arid,74.130867,10.483258,3.799626
"Bear Ck bl FM 1826 nr Driftwood, TX",30.15549,-97.94001,4.42934,Arid,6.461094,10.868733,2.453804
"Beaver Ck nr Mason, TX",30.64352,-99.09588,5.069464,Arid,18.514197,10.234159,2.018785
"Big Cow Ck nr Newton, TX",30.81889,-93.78556,2.601478,Arid,140.622786,10.620051,4.082314
"Big Creek at Pollock, LA",31.53629,-92.40847,2.506257,Arid,62.760994,10.550956,4.209846
"Big Sandy Ck abv Breckenridge, TX",32.64846,-99.00451,5.366983,Arid,26.1514,10.369482,1.932088
"Bixler Run near Loysville, PA",40.37092,-77.40221,2.200398,Arid,20.816513,7.030114,3.194928
"Black Cypress Bayou at Jefferson, TX",32.77792,-94.35742,3.017932,Arid,319.521011,10.400429,3.44621
"Blanco Rv nr Kyle, TX",29.97938,-97.91,4.316793,Arid,156.383422,10.619021,2.459933
"Blockhouse Creek near English Center, PA",41.47368,-77.23081,1.847683,Arid,59.073992,5.827657,3.154035
"Brodhead Creek near Analomink, PA",41.08481,-75.21462,1.688874,Arid,144.565367,6.139216,3.635094
"Brokenstraw Creek at Youngsville, PA",41.85256,-79.31727,1.632307,Arid,651.383526,5.841471,3.578659
"Buffalo Creek near Freeport, PA",40.7159,-79.69949,1.992288,Arid,194.22766,6.573109,3.299276
"Buffalo River near St. Joe, AR",35.98318,-92.74755,2.399655,Arid,1070.37757,8.444321,3.518974
"Bush Kill at Shoemakers, PA",41.08815,-75.03767,1.740614,Arid,247.142604,6.242788,3.586544
"CACHE CREEK NEAR JACKSON, WY",43.45215,-110.70409,1.553918,Arid,12.090893,3.60659,2.320965
"CALCASIEU RIVER NR GLENMORA, LA",30.99602,-92.67375,2.511451,Arid,767.560834,10.622651,4.229687
CANASERAGA CREEK ABOVE DANSVILLE NY,42.53562,-77.70416,2.042818,Arid,98.312457,5.815836,2.846967
"CANNONBALL RIVER AT BREIEN, ND",46.37611,-100.93444,5.312093,Arid,253.851092,6.224498,1.17176
"CANNONBALL RIVER AT REGENT, ND",46.42667,-102.55183,5.500341,Arid,36.194133,6.107551,1.110395
CANTUA C NR CANTUA CREEK CA,36.40217,-120.43349,7.257571,Arid,3.09864,8.080299,1.113361
"CARTOOGECHAYE CREEK NEAR FRANKLIN, NC",35.15889,-83.39417,1.434325,Arid,132.534133,7.07492,4.932579
"CASSELMAN RIVER AT GRANTSVILLE, MD",39.70219,-79.13639,1.713644,Arid,123.666735,5.967994,3.482634
CASTLE CR ABOVE DEERFIELD RES NEAR HILL CITY SD,44.01359,-103.83048,2.608016,Arid,14.497401,4.440747,1.70273
"CATALOOCHEE CREEK NEAR CATALOOCHEE, NC",35.6675,-83.07361,1.311314,Arid,109.83669,5.875992,4.480994
"CATOCTIN CREEK AT TAYLORSTOWN, VA",39.25455,-77.57638,2.603022,Arid,96.862156,7.821235,3.004675
"CATTAIL CREEK NEAR GLENWOOD, MD",39.25597,-77.05106,2.437236,Arid,25.343083,7.923415,3.250984
"CEDAR C NR CEDAR POINT, KS",38.19645,-96.82458,3.363244,Arid,64.361885,8.466318,2.517307
"CEDAR CREEK NEAR WINCHESTER, VA",39.08122,-78.32945,2.42522,Arid,105.913243,7.099772,2.927475
"CEDAR CREEK NR HAYNES, ND",46.15417,-102.47405,5.472668,Arid,35.340384,6.123421,1.11891
"CEDAR CREEK NR RALEIGH, ND",46.09167,-101.33374,5.362338,Arid,92.937547,6.248294,1.165218
"CEDAR RIVER BELOW BEAR CREEK NEAR CEDAR FALLS, WA",47.34205,-121.54899,0.648447,Humid,158.121636,4.664861,7.193899
"CEDAR RIVER NEAR CEDAR FALLS, WA",47.37011,-121.6251,0.670322,Sub-humid,247.30061,4.816982,7.186075
"CHAPMAN C NR CHAPMAN, KS",39.03111,-97.04029,3.853208,Arid,84.82604,8.463097,2.196377
CHARLIE CREEK NEAR GARDNER FL,27.37504,-81.79647,3.265921,Arid,232.607607,12.001502,3.674768
"CHATTOOGA RIVER NEAR CLAYTON, GA",34.81398,-83.30599,1.412325,Arid,615.031403,7.469977,5.289135
"CHEHALIS RIVER NEAR DOTY, WA",46.61732,-123.27764,0.766711,Sub-humid,579.708624,5.63079,7.344089
"CHERRY CREEK NEAR GLOBE, AZ.",33.82783,-110.85623,4.547199,Arid,30.748936,7.583472,1.667724
"CHESTNUT CREEK AT GALAX, VA",36.64596,-80.91924,1.880021,Arid,69.367882,6.794735,3.614181
"CHETCO RIVER NEAR BROOKINGS, OR",42.12344,-124.18731,1.022654,Arid,2246.257901,5.750161,5.62278
"CHIKASKIA R NR CORBIN, KS",37.12891,-97.60144,4.007841,Arid,276.516761,8.967852,2.237577
"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.",31.34295,-85.61049,2.670439,Arid,828.144294,10.243865,3.836022
"CHOPTANK RIVER NEAR GREENSBORO, MD",38.99719,-75.78581,2.582697,Arid,146.36059,8.348163,3.232343
CLEARWATER RIVER AT OROFINO ID,46.47833,-116.2575,1.602086,Arid,8546.470275,4.777989,2.982355
"COAL CREEK NEAR CEDAR CITY, UT",37.6722,-113.03467,5.096523,Arid,36.478778,6.074801,1.19195
CONECUH RIVER AT BRANTLEY AL,31.5735,-86.25162,2.594022,Arid,577.687993,10.030428,3.866748
"CORRAL GULCH NEAR RANGELY, CO.",39.92025,-108.47287,3.998944,Arid,1.637774,5.157374,1.289684
"COVE CREEK NEAR LAKE LURE, NC",35.42345,-82.1115,2.149926,Arid,127.45449,8.150757,3.79118
"COWPASTURE RIVER NEAR CLIFTON FORGE, VA",37.7918,-79.75949,2.193794,Arid,558.250814,6.807804,3.10321
"CRAIG CREEK AT PARR, VA",37.66596,-79.91144,2.314964,Arid,384.103692,7.081672,3.059086
"CRYSTAL RIVER AB AVALANCHE C, NEAR REDSTONE, CO.",39.23221,-107.22727,1.309279,Arid,302.961045,3.439053,2.626676
"CUB CREEK AT PHENIX, VA",37.07931,-78.76362,2.651884,Arid,93.527925,8.252236,3.111839
"CUIVRE RIVER NEAR TROY, MO",39.0088,-90.97754,2.712517,Arid,748.200571,8.048324,2.967105
CULL C AB CULL C RES NR CASTRO VALLEY CA,37.71771,-122.05441,4.699462,Arid,2.921812,7.647504,1.627315
"CYPRESS CREEK NR JANICE, MS",31.02528,-89.01667,2.328257,Arid,88.203809,10.419284,4.475144
"Cadron Creek near Guy, AR",35.2988,-92.40393,2.470847,Arid,246.029279,9.14963,3.703033
"Carrabassett River near North Anson, Maine",44.8692,-69.9551,1.534166,Arid,798.107087,5.095626,3.321431
"Cedar Creek near Bussey, IA",41.219,-92.90853,2.73764,Arid,287.245031,7.401394,2.703567
"Cedar Creek near Pleasant View, MO",37.8342,-93.87549,2.590477,Arid,359.951088,8.566933,3.307087
"Chariton River near Chariton, IA",40.95189,-93.25985,2.638165,Arid,146.221967,7.316346,2.77327
Conneaut Creek at Conneaut OH,41.927,-80.60397,1.947036,Arid,304.401201,6.43099,3.302965
"Corey Creek near Mainesburg, PA",41.79091,-77.01469,1.902658,Arid,12.819709,5.757785,3.02618
"Cossatot River near Vandervoort, AR",34.37955,-94.23576,1.982747,Arid,180.201518,8.631546,4.353328
"Cowhouse Ck at Pidcoke, TX",31.28489,-97.88502,4.657588,Arid,99.431484,10.42805,2.238938
"Crooked Creek near Paris, MO",39.58483,-91.99349,2.748114,Arid,64.145031,7.97553,2.902183
"Current River at Doniphan, MO",36.622,-90.84762,2.445839,Arid,2973.834402,8.297246,3.392393
"Current River at Van Buren, MO",36.99138,-91.01351,2.417365,Arid,2173.84637,8.37378,3.464011
DEEP C NR PALM DESERT CA,33.63114,-116.39223,12.536506,Arid,2.382833,8.661035,0.690865
DEER C NR VINA CA,40.01405,-121.94832,1.804999,Arid,326.024609,6.469227,3.584061
"DEER CREEK AT ROCKS, MD",39.62997,-76.40331,2.243487,Arid,129.708608,7.636371,3.403796
DEL PUERTO C NR PATTERSON CA,37.4866,-121.2091,6.420376,Arid,7.943699,7.957088,1.239349
"DMF Brazos Rv at Justiceburg, TX",33.03843,-101.19763,6.832786,Arid,29.04843,9.413253,1.37766
DONNER UND BLITZEN RIVER NR FRENCHGLEN OR,42.79083,-118.8675,3.186393,Arid,133.638505,5.109348,1.60349
"DRAGOON C NR BURLINGAME, KS",38.71069,-95.83603,3.191421,Arid,65.202679,8.275091,2.592918
"DRY BEAVER CREEK NEAR RIMROCK, AZ.",34.72863,-111.77571,3.989355,Arid,39.929179,6.563175,1.645172
DRY C A UNION CITY CA,37.60605,-122.02385,5.213997,Arid,2.839277,7.664405,1.469967
"DUCKABUSH RIVER NEAR BRINNON, WA",47.68398,-123.01155,0.719806,Sub-humid,422.959793,4.558939,6.333569
"DUNGENESS RIVER NEAR SEQUIM, WA",48.01426,-123.13268,0.730779,Sub-humid,393.580198,4.407334,6.031005
"DUNLAP CREEK NEAR COVINGTON, VA",37.8029,-80.047,2.257447,Arid,170.237125,6.843375,3.031467
"Diamond River near Wentworth Location, NH",44.87739,-71.05749,1.244981,Arid,364.928653,4.664444,3.746599
"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",41.4134,-78.19695,1.7407,Arid,462.685302,5.790208,3.326367
"Dry Frio Rv nr Reagan Wells, TX",29.50468,-99.78145,5.372062,Arid,32.946952,10.521606,1.958579
"E Fk Little Wichita Rv nr Henrietta, TX",33.81288,-98.08504,4.702298,Arid,30.928878,10.379675,2.207362
"E Fk San Jacinto Rv nr Cleveland, TX",30.3366,-95.1041,3.178292,Arid,234.735967,10.997088,3.460063
"EAST FORK LEWIS RIVER NEAR HEISSON, WA",45.83678,-122.46621,0.80224,Sub-humid,712.431008,5.873533,7.321418
"EAST FORK PIGEON RIVER NEAR CANTON, NC",35.46167,-82.86972,1.309425,Arid,136.199331,6.296585,4.808663
"EAST FORK SHOAL CREEK NEAR COFFEEN, IL",39.14894,-89.35231,2.804888,Arid,48.076424,8.048848,2.869579
"EAST FORK VIRGIN RIVER NEAR GLENDALE, UT",37.33943,-112.60438,3.901709,Arid,16.580375,5.489769,1.407017
"EAST FORK WHITE RIVER NEAR FORT APACHE, AZ.",33.82227,-109.81454,2.858107,Arid,33.232486,5.44382,1.904694
"EAST ORANGE BRANCH AT EAST ORANGE, VT",44.09284,-72.33565,1.578724,Arid,16.744638,5.135847,3.253164
"EDWARDS RIVER NEAR NEW BOSTON, IL",41.18698,-90.96737,2.720584,Arid,380.064702,7.370291,2.709085
ELDER C NR BRANSCOMB CA,39.7296,-123.64391,1.130306,Arid,24.079086,5.885149,5.206689
"ELK CREEK AT ELKVILLE, NC",36.07139,-81.40306,2.04262,Arid,90.108249,7.475827,3.65992
"ELKHORN CREEK NEAR PENROSE, IL",41.90281,-89.69622,2.494471,Arid,122.112406,6.863506,2.751488
ELLIOTTS CREEK AT MOUNDVILLE AL,32.99735,-87.62223,2.397346,Arid,39.154803,9.838223,4.103798
"ENCAMPMENT RIVER AB HOG PARK CR, NR ENCAMPMENT, WY",41.02358,-106.82477,1.225969,Arid,115.924644,3.521557,2.872468
ESCATAWPA RIVER NEAR AGRICOLA MS,30.80908,-88.45863,2.248269,Arid,1059.482263,10.387619,4.620275
"Eleven Point River near Bardley, MO",36.64868,-91.20082,2.536815,Arid,806.402613,8.367119,3.298277
"FALLING CREEK NEAR JULIETTE, GA",33.09985,-83.72351,2.953837,Arid,54.061433,9.779575,3.310803
"FALLING RIVER NEAR NARUNA, VA",37.12681,-78.95974,2.662325,Arid,153.351768,8.185658,3.074627
"FAUSETT CREEK NEAR TALKING ROCK, GA",34.57037,-84.46882,1.926497,Arid,15.612165,8.237033,4.275652
"FENHOLLOWAY RIVER NEAR FOLEY, FLA.",30.09827,-83.47181,2.738739,Arid,41.383195,10.896673,3.978719
"FIR CREEK NEAR BRIGHTWOOD, OR",45.48012,-122.02564,0.636523,Humid,34.938387,5.327237,8.369273
FIRESTEEL CR NEAR MOUNT VERNON SD,43.7764,-98.24567,4.275371,Arid,44.874325,7.015762,1.640972
"FIRST BROAD RIVER NEAR CASAR, NC",35.49306,-81.68222,2.143101,Arid,81.443218,8.182933,3.818267
FLAT BROOK NEAR FLATBROOKVILLE NJ,41.10667,-74.95222,1.867429,Arid,120.166724,6.559765,3.512724
"FLAT CREEK NEAR INVERNESS, NC",35.18278,-79.1775,2.776924,Arid,10.540233,9.359775,3.370555
"FONTENELLE C NR HERSCHLER RANCH, NR FONTENELLE, WY",42.09605,-110.41656,2.639999,Arid,70.278223,3.819848,1.446913
"FORD RIVER NEAR HYDE, MI",45.75552,-87.20152,2.472522,Arid,328.598565,5.460037,2.208286
"FRENCH BROAD RIVER AT ROSMAN, NC",35.14333,-82.82472,1.248558,Arid,227.768019,6.919327,5.541853
"FT DRUM CREEK AT SUNSHINE ST PKY NEAR FT DRUM, FL",27.56865,-80.79617,3.301991,Arid,44.251853,12.007359,3.636399
"Fish River near Fort Kent, Maine",47.23739,-68.58264,1.601106,Arid,1537.296355,4.996292,3.120526
"Fishing Creek near Bloomsburg, PA",41.07814,-76.43106,1.862972,Arid,492.43312,6.216635,3.336945
"Flint Creek at Springtown, AR",36.25548,-94.43394,2.571407,Arid,14.953102,8.774192,3.412214
"Fox River at Wayland, MO",40.39241,-91.59788,2.752491,Arid,354.84789,7.683357,2.791419
"French Creek near Wattsburg, PA",42.01533,-79.78255,1.601014,Arid,225.138892,5.886416,3.676681
"Frio Rv at Concan, TX",29.48857,-99.70478,4.961686,Arid,137.696347,10.288105,2.07351
"GALLINAS CREEK NEAR MONTEZUMA, NM",35.65199,-105.3189,2.857118,Arid,20.856819,4.738286,1.658414
GENESEE RIVER AT WELLSVILLE NY,42.12229,-77.95722,1.803462,Arid,384.789581,5.546834,3.075659
"GILA RIVER NEAR GILA, NM",33.06118,-108.53727,4.468008,Arid,180.102268,5.962382,1.334461
"GOOSE CREEK NEAR HUDDLESTON, VA",37.1732,-79.52031,2.566802,Arid,177.581442,7.974218,3.106675
"GOOSE CREEK NEAR LEESBURG, VA",39.01955,-77.57749,2.590979,Arid,339.633036,7.800001,3.010446
"GORE CREEK AT UPPER STATION, NEAR MINTURN, CO.",39.62582,-106.27808,1.184341,Arid,30.324303,3.019126,2.549204
"GRANT RIVER AT BURTON, WI",42.72027,-90.81929,2.590876,Arid,195.4845,6.64497,2.564758
"GREEN RIVER AT WILLIAMSTOWN, MA",42.70897,-73.19677,1.572149,Arid,87.741345,5.647563,3.592257
"GREEN RIVER NEAR COLRAIN, MA",42.70342,-72.67065,1.470201,Arid,92.661229,5.66229,3.851371
"GREEN RIVER NR NEW HRADEC, ND",47.02779,-103.05324,5.151509,Arid,12.297949,6.040016,1.172475
GREYS RIVER AB RESERVOIR NR ALPINE WY,43.14278,-110.97667,1.58021,Arid,623.573295,3.769308,2.385321
"Garcitas Ck nr Inez, TX",28.89138,-96.81915,4.131279,Arid,52.418577,11.744911,2.842924
"Groesbeck Ck at SH 6 nr Quanah, TX",34.35452,-99.74037,6.06134,Arid,27.896305,10.150397,1.674613
"HALFMOON CREEK NEAR MALTA, CO.",39.17221,-106.38919,1.194481,Arid,30.172487,2.5512,2.135824
"HAMS FORK BELOW POLE CREEK, NEAR FRONTIER, WY",42.11049,-110.70962,2.051854,Arid,89.853359,3.680236,1.793615
"HENRY FORK NEAR HENRY RIVER, NC",35.68444,-81.40333,2.211816,Arid,124.86478,8.267625,3.737935
"HOH RIVER AT US HIGHWAY 101 NEAR FORKS, WA",47.80675,-124.25103,0.599336,Humid,2554.348052,5.106759,8.520691
"HOLIDAY CREEK NEAR ANDERSONVILLE, VA",37.41542,-78.63584,2.604466,Arid,7.432291,8.208073,3.151537
"HOMOCHITTO RIVER AT EDDICETON, MS",31.50306,-90.7775,2.386834,Arid,261.617189,10.231749,4.286745
"HOMOCHITTO RIVER AT ROSETTA, MS",31.32472,-91.10944,2.389976,Arid,1134.558276,10.286381,4.303968
HORSE CREEK NEAR ARCADIA FL,27.19949,-81.98842,3.149095,Arid,180.011378,12.068977,3.832523
HORSE CREEK NEAR MYAKKA HEAD FL,27.48726,-82.02342,3.070941,Arid,30.327213,12.030439,3.917509
"HUGE CREEK NEAR WAUNA, WA",47.38926,-122.69902,1.632558,Arid,10.71447,6.544491,4.008735
"HUNTING CREEK NEAR HARMONY, NC",36.00056,-80.74556,2.327974,Arid,187.739503,8.210135,3.52673
"HYCO CREEK NEAR LEASBURG, NC",36.39778,-79.19667,2.662346,Arid,43.558156,8.65931,3.252512
"Hondo Ck nr Tarpley, TX",29.56967,-99.24671,4.80103,Arid,43.619355,10.63264,2.214658
Honey Creek at Melmore OH,41.02228,-83.10964,2.51821,Arid,144.901406,6.971787,2.768548
"Hubbard Ck bl Albany, TX",32.7329,-99.14063,5.700969,Arid,45.667249,10.402654,1.824717
INDEPENDENCE RIVER AT DONNATTSBURG NY,43.74729,-75.33435,1.474164,Arid,208.904474,5.314485,3.605084
"INDIAN-KENTUCK CREEK NR CANAAN, IND.",38.87811,-85.25718,2.197678,Arid,40.272859,7.731755,3.518148
"JACKSON RIVER NEAR BACOVA, VA",38.04235,-79.88144,1.973043,Arid,163.588931,6.374271,3.23068
"JACOB FORK AT RAMSEY, NC",35.59069,-81.56704,1.959187,Arid,44.902358,7.984033,4.075176
"JAMES RIVER NR GRACE CITY, ND",47.55805,-98.86289,4.569697,Arid,82.91373,5.98216,1.309093
"JEMEZ RIVER NEAR JEMEZ, NM",35.66169,-106.74337,3.01647,Arid,73.189585,4.611889,1.528903
"JOE WRIGHT CREEK ABOVE JOE WRIGHT RESERVOIR, CO.",40.53998,-105.88279,1.000993,Arid,10.095627,2.844352,2.84153
"JOHNS CREEK AT NEW CASTLE, VA",37.50624,-80.10671,2.275038,Arid,129.397098,6.892049,3.029422
JOHNSON CREEK AT YELLOW PINE ID,44.96167,-115.5,0.978795,Sub-humid,338.626643,3.568765,3.64608
"JUMP RIVER AT SHELDON, WI",45.30803,-90.95652,2.312679,Arid,530.776455,5.59352,2.418632
"Jacks Fork at Eminence, MO",37.15408,-91.35816,2.517635,Arid,507.436952,8.243912,3.274467
"Jordan Creek near Schnecksville, PA",40.66176,-75.62685,2.009382,Arid,96.15523,6.997651,3.482489
KEYA PAHA R AT WEWELA SD,43.02889,-99.78067,4.533544,Arid,94.591732,6.94995,1.533006
"KEYSTONE GULCH NEAR DILLON, CO.",39.59443,-105.97252,1.505186,Arid,6.632415,3.085007,2.049585
"KICKAPOO RIVER AT LA FARGE, WI",43.57414,-90.64319,2.488701,Arid,199.490629,6.277963,2.522586
"KINGS C NR MANHATTAN, KS",39.10195,-96.59521,3.252918,Arid,2.091218,8.266539,2.541269
"KNIFE RIVER AT MANNING, ND",47.23613,-102.76991,5.143746,Arid,14.282914,6.093823,1.184705
"KNIFE RIVER NEAR TWO HARBORS, MN",46.94688,-91.7924,2.334777,Arid,91.046771,5.243399,2.245781
"KNIFE RIVER NR GOLDEN VALLEY, ND",47.15445,-102.05989,5.232376,Arid,72.600453,6.162551,1.177773
"Kettle Creek at Cross Fork, PA",41.4759,-77.82582,1.757933,Arid,231.063885,5.71899,3.253247
"Kiamichi River near Big Cedar, OK",34.63844,-94.61272,2.018595,Arid,85.736751,8.422335,4.172375
"Kinzua Creek near Guffey, PA",41.76645,-78.71864,1.535478,Arid,79.017667,5.456623,3.553696
"L OSAGE R AT FULTON, KS",38.01897,-94.71367,2.827897,Arid,264.943432,8.561244,3.027424
"LA MOINE RIVER AT COLMAR, IL",40.33032,-90.89624,2.74808,Arid,529.711956,7.663384,2.788632
"LA MOINE RIVER AT RIPLEY, IL",40.02477,-90.63179,2.761333,Arid,1021.177829,7.695845,2.787003
LAKE FORK PAYETTE RIVER AB JUMBO CR NR MCCALL ID,44.91361,-115.99722,1.10995,Arid,134.730032,3.618622,3.260168
"LAMOILLE C NR LAMOILLE, NV",40.69076,-115.477,1.766621,Arid,45.073991,4.021927,2.276622
"LEAF RIVER NR COLLINS, MS",31.70694,-89.40694,2.402584,Arid,1059.405272,10.012041,4.167196
"LIGHTNING C NR MCCUNE, KS",37.28125,-95.03267,2.75717,Arid,190.648283,8.736333,3.168587
"LITTLE CROOKED CREEK NEAR NEW MINDEN, IL",38.44172,-89.41675,2.77727,Arid,81.688967,8.380323,3.017468
"LITTLE FISHING CREEK NEAR WHITE OAK, NC",36.18333,-77.87611,2.703419,Arid,151.795577,8.830358,3.266367
"LITTLE FORK RIVER AT LITTLEFORK, MN",48.39578,-93.54933,2.671185,Arid,1050.07877,5.359672,2.006478
"LITTLE NORTH SANTIAM RIVER NEAR MEHAMA, OR",44.79151,-122.57897,0.885167,Sub-humid,700.621535,5.628298,6.358461
LITTLE R NR TRINIDAD CA,41.01096,-124.08173,1.38093,Arid,129.041892,5.975582,4.327214
"LITTLE RIVER AT GRAYSONTOWN, VA",37.03763,-80.55672,2.0588,Arid,352.665363,6.893757,3.348435
"LITTLE RIVER NEAR MARYVILLE, TN",35.78562,-83.8846,1.734587,Arid,504.139729,7.450848,4.295459
"LITTLE RIVER NEAR STAR, NC",35.38722,-79.83139,2.799569,Arid,100.075864,9.068246,3.239158
"LITTLE SALT CREEK NEAR LINCOLN, NEBR.",40.89311,-96.68155,3.582326,Arid,14.699196,7.69742,2.148721
"LITTLE SANDY RIVER NEAR BULL RUN, OREG.",45.4154,-122.17148,0.765663,Sub-humid,138.469665,5.652894,7.383007
"LITTLE TENNESSEE RIVER NEAR PRENTISS, NC",35.15,-83.37972,1.410749,Arid,357.408378,7.193331,5.098945
LITTLE WHITE R BELOW WHITE RIVER SD,43.60139,-100.74986,4.751531,Arid,155.287786,6.816009,1.434487
